LInk;Tail;Head;Polarity;Delay;Biome;Regime Shift;Scale
411;Macrophytes;P in water;-1;0;Freshwater;Freshwater eutrophication;
412;P in water;Algae;1;0;Freshwater;Freshwater eutrophication;
413;Algae;P in water;-1;0;Freshwater;Freshwater eutrophication;
414;Dissolved oxygen;P in water;-1;0;Freshwater;Freshwater eutrophication;
415;Algae;Dissolved oxygen;-1;0;Freshwater;Freshwater eutrophication;
416;Algae;Water turbidity;1;0;Freshwater;Freshwater eutrophication;
417;Water turbidity;Macrophytes;-1;0;Freshwater;Freshwater eutrophication;
418;Floods;Nutrients;1;0;Freshwater;Freshwater eutrophication;
419;Logging;Deforestation;1;0;Terrestrial;Forest to savanna;
420;Agriculture;Deforestation;1;0;Terrestrial;Forest to savanna;
421;Roads and water chanels;Deforestation;1;0;Terrestrial;Forest to savanna;
422;Ranching;Deforestation;1;0;Terrestrial;Forest to savanna;
423;Ranching;Terrestrial herbivores;1;0;Terrestrial;Forest to savanna;
424;Hunting;Terrestrial herbivores;-1;0;Terrestrial;Forest to savanna;
425;Disease;Terrestrial herbivores;-1;0;Terrestrial;Forest to savanna;
426;Deforestation;Fragmentation;1;0;Terrestrial;Forest to savanna;
427;Deforestation;Fire frequency;1;0;Terrestrial;Forest to savanna;
428;Fragmentation;Fire;1;0;Terrestrial;Forest to savanna;
429;Fire frequency;Fire;1;0;Terrestrial;Forest to savanna;
430;Sea surface temperature;Land-Ocean temperature gradient;-1;0;Terrestrial;Forest to savanna;
431;Land-Ocean temperature gradient;ENSO-like frequency events;1;0;Terrestrial;Forest to savanna;
432;Monsoon circulation;Precipitation;1;0;Terrestrial;Forest to savanna;
433;Land-Ocean temperature gradient;Monsoon circulation;1;0;Terrestrial;Forest to savanna;
434;ENSO-like frequency events;Temperature;1;0;Terrestrial;Forest to savanna;
435;Temperature;Lifting condensation level;1;0;Terrestrial;Forest to savanna;
436;Lifting condensation level;Precipitation;-1;0;Terrestrial;Forest to savanna;
437;GHG;Climate change;1;0;Terrestrial;Forest to savanna;
438;Climate change;Temperature;1;0;Terrestrial;Forest to savanna;
439;Precipitation;Land-Ocean temperature gradient;1;0;Terrestrial;Forest to savanna;
440;Precipitation;Temperature;-1;0;Terrestrial;Forest to savanna;
441;Precipitation;Savanna;-1;0;Terrestrial;Forest to savanna;
442;Precipitation;Forest;1;0;Terrestrial;Forest to savanna;
443;Savanna;Roughness;-1;0;Terrestrial;Forest to savanna;
444;Roughness;Precipitation;-1;0;Terrestrial;Forest to savanna;
445;Savanna;Terrestrial herbivores;1;0;Terrestrial;Forest to savanna;
446;Terrestrial herbivores;Forest;-1;0;Terrestrial;Forest to savanna;
447;Savanna;Fire;1;0;Terrestrial;Forest to savanna;
448;Fire;Savanna;1;0;Terrestrial;Forest to savanna;
449;Fire;Precipitation;-1;0;Terrestrial;Forest to savanna;
450;Savanna;Albedo;1;0;Terrestrial;Forest to savanna;
451;Albedo;Land-Ocean temperature gradient;-1;0;Terrestrial;Forest to savanna;
452;Forest;Albedo;-1;0;Terrestrial;Forest to savanna;
453;Forest;Roughness;1;0;Terrestrial;Forest to savanna;
454;Forest;Soil moisture;1;0;Terrestrial;Forest to savanna;
455;Forest;Biomass;1;0;Terrestrial;Forest to savanna;
456;Soil moisture;Evapotranspiration;1;0;Terrestrial;Forest to savanna;
457;Biomass;Evapotranspiration;1;0;Terrestrial;Forest to savanna;
458;Evapotranspiration;Precipitation;1;0;Terrestrial;Forest to savanna;
459;Forest;Carbon storage;1;0;Terrestrial;Forest to savanna;
460;Carbon storage;Climate change;-0,5;0;Terrestrial;Forest to savanna;
461;ENSO-like frequency events;Carbon storage;-0,5;0;Terrestrial;Forest to savanna;
462;Droughts and dry spells;Precipitation;-1;0;Terrestrial;Forest to savanna;
463;Deforestation;Forest;-1;0;Terrestrial;Forest to savanna;
464;GHG;Climate change;1;0;Marine;Seagrass transitions;
465;GHG;Ocean acidification;0,1;0;Marine;Seagrass transitions;
466;Climate change;Sea level rise;1;0;Marine;Seagrass transitions;
467;Climate change;Storms;1;0;Marine;Seagrass transitions;
468;Storms;Seagrass;-1;0;Marine;Seagrass transitions;
469;Ocean acidification;Seagrass;0,1;0;Marine;Seagrass transitions;
470;Sea level rise;Seagrass habitat;-1;0;Marine;Seagrass transitions;
471;Seagrass habitat;Seagrass;1;0;Marine;Seagrass transitions;
472;Seagrass;Seagrass habitat;-1;0;Marine;Seagrass transitions;
473;Disease;Seagrass;-1;0;Marine;Seagrass transitions;
474;Seagrass;Fragmentation;-1;0;Marine;Seagrass transitions;
475;Fragmentation;Seagrass;-1;0;Marine;Seagrass transitions;
476;Seagrass;Algae;-1;0;Marine;Seagrass transitions;
477;Algae;Seagrass;-1;0;Marine;Seagrass transitions;
478;Seagrass;Current attenuation;1;0;Marine;Seagrass transitions;
479;Current attenuation;Sedimentation;-1;0;Marine;Seagrass transitions;
480;Sedimentation;Water turbidity;1;0;Marine;Seagrass transitions;
481;Water turbidity;Light penetration;-1;0;Marine;Seagrass transitions;
482;Light penetration;Seagrass;1;0;Marine;Seagrass transitions;
483;Urbanization;Physical disturbance;1;0;Marine;Seagrass transitions;
484;Urbanization;Pollutants;1;0;Marine;Seagrass transitions;
485;Urbanization;Sewage;1;0;Marine;Seagrass transitions;
486;Urbanization;Soil erosion;1;0;Marine;Seagrass transitions;
487;Physical disturbance;Seagrass;-1;0;Marine;Seagrass transitions;
488;Physical disturbance;Fragmentation;1;0;Marine;Seagrass transitions;
489;Pollutants;Seagrass;-1;0;Marine;Seagrass transitions;
490;Sewage;Nutrients;1;0;Marine;Seagrass transitions;
491;Soil erosion;Nutrients;1;0;Marine;Seagrass transitions;
492;Rainfall variability;Floods;1;0;Marine;Seagrass transitions;
493;Floods;Pollutants;1;0;Marine;Seagrass transitions;
494;Floods;Salinity;-1;0;Marine;Seagrass transitions;
495;Floods;Soil erosion;1;0;Marine;Seagrass transitions;
496;Soil erosion;Water turbidity;1;0;Marine;Seagrass transitions;
497;Algae;Water turbidity;1;0;Marine;Seagrass transitions;
498;Nutrients;Algae;1;0;Marine;Seagrass transitions;
499;Nutrients;Herbivore fish;-1;0;Marine;Seagrass transitions;
500;Herbivore fish;Algae;-1;0;Marine;Seagrass transitions;
501;Demand for food and fiber;Agriculture;1;0;Marine;Seagrass transitions;
502;Demand for food and fiber;Aquaculture;1;0;Marine;Seagrass transitions;
503;Demand for food and fiber;Fishing;1;0;Marine;Seagrass transitions;
504;Agriculture;Deforestation;1;0;Marine;Seagrass transitions;
505;Agriculture;Soil erosion;1;0;Marine;Seagrass transitions;
506;Agriculture;Fertiliser use;1;0;Marine;Seagrass transitions;
507;Fertiliser use;Nutrients;1;0;Marine;Seagrass transitions;
508;Aquaculture;Nutrients;1;0;Marine;Seagrass transitions;
509;Fishing;Herbivore fish;-1;0;Marine;Seagrass transitions;
510;Fishing;Meso predators;-1;0;Marine;Seagrass transitions;
511;Fishing;Apex predators;-1;0;Marine;Seagrass transitions;
512;Herbivore fish;Fishing;-0,5;0;Marine;Seagrass transitions;
513;Meso predators;Fishing;-0,5;0;Marine;Seagrass transitions;
514;Apex predators;Fishing;-0,5;0;Marine;Seagrass transitions;
515;Herbivore fish;Meso predators;1;0;Marine;Seagrass transitions;
516;Meso predators;Herbivore fish;-1;0;Marine;Seagrass transitions;
517;Apex predators;Meso predators;-1;0;Marine;Seagrass transitions;
518;Meso predators;Apex predators;1;0;Marine;Seagrass transitions;
519;Habitat structure;Herbivore fish;1;0;Marine;Seagrass transitions;
520;Habitat structure;Meso predators;1;0;Marine;Seagrass transitions;
521;Habitat structure;Apex predators;1;0;Marine;Seagrass transitions;
522;Seagrass;Habitat structure;1;0;Marine;Seagrass transitions;
523;Agriculture;Pollutants;1;0;Marine;Seagrass transitions;
524;Salinity;Seagrass;1;0;Marine;Seagrass transitions;
525;Deforestation;Soil erosion;1;0;Marine;Seagrass transitions;
526;GHG;Climate change;1;0;Terrestrial;Tundra to forest;
527;Climate change;Temperature;1;0;Terrestrial;Tundra to forest;
528;Temperature;Shrubs;1;0;Terrestrial;Tundra to forest;
529;Shrubs;Albedo;-1;0;Terrestrial;Tundra to forest;
530;Albedo;Temperature;1;0;Terrestrial;Tundra to forest;
531;Temperature;Soil temperature;1;0;Terrestrial;Tundra to forest;
532;Soil temperature;Microbial activity;1;0;Terrestrial;Tundra to forest;
533;Microbial activity;Nutrients available;1;0;Terrestrial;Tundra to forest;
534;Nutrients available;Shrubs;1;0;Terrestrial;Tundra to forest;
535;Shrubs;Snowing drifting;1;0;Terrestrial;Tundra to forest;
536;Snowing drifting;Soil temperature;1;0;Terrestrial;Tundra to forest;
537;Soil temperature;Permafrost;-1;0;Terrestrial;Tundra to forest;
538;Permafrost;Carbon storage;1;0;Terrestrial;Tundra to forest;
539;Carbon storage;Climate change;-1;0;Terrestrial;Tundra to forest;
540;Soil temperature;Soil drainage;1;0;Terrestrial;Tundra to forest;
541;Soil drainage;Forest;1;0;Terrestrial;Tundra to forest;
542;Forest;Terrestrial herbivores;-1;0;Terrestrial;Tundra to forest;
543;Terrestrial herbivores;Shrubs;-1;0;Terrestrial;Tundra to forest;
544;Terrestrial herbivores;Nutrients available;1;0;Terrestrial;Tundra to forest;
545;Hunting;Terrestrial herbivores;-1;0;Terrestrial;Tundra to forest;
546;Reindeer herding;Terrestrial herbivores;1;0;Terrestrial;Tundra to forest;
547;Invasive sp;Biodiversity;-1;0;Marine;Marine foodwebs;
548;Biodiversity;Invasive sp;-1;0;Marine;Marine foodwebs;
549;Apex predators;Meso predators;-1;0;Marine;Marine foodwebs;
550;Meso predators;Apex predators;1;0;Marine;Marine foodwebs;
551;Apex predators;Biodiversity;1;1;Marine;Marine foodwebs;
552;Meso predators;Biodiversity;1;1;Marine;Marine foodwebs;
553;Meso predators;Planktivore fish;-1;0;Marine;Marine foodwebs;
554;Planktivore fish;Meso predators;1;0;Marine;Marine foodwebs;
555;Planktivore fish;Zooplankton;-1;0;Marine;Marine foodwebs;
556;Zooplankton;Planktivore fish;1;0;Marine;Marine foodwebs;
557;Zooplankton;Phytoplankton/algae;-1;0;Marine;Marine foodwebs;
558;Phytoplankton/algae;Zooplankton;1;0;Marine;Marine foodwebs;
559;Planktivore fish;Biodiversity;1;1;Marine;Marine foodwebs;
560;Zooplankton;Biodiversity;1;1;Marine;Marine foodwebs;
561;Phytoplankton/algae;Biodiversity;1;1;Marine;Marine foodwebs;
562;Fishing;Apex predators;-1;0;Marine;Marine foodwebs;
563;Fishing;Meso predators;-1;0;Marine;Marine foodwebs;
564;Fishing;Planktivore fish;-1;0;Marine;Marine foodwebs;
565;Apex predators;Fishing;-0,5;1;Marine;Marine foodwebs;
566;Meso predators;Fishing;-0,5;1;Marine;Marine foodwebs;
567;Planktivore fish;Fishing;-0,5;1;Marine;Marine foodwebs;
568;Climate change;Sea surface temperature;1;1;Marine;Marine foodwebs;
569;Sea surface temperature;Water density;-1;0;Marine;Marine foodwebs;
570;Water density;Nutrients;-1;0;Marine;Marine foodwebs;
571;ENSO-like frequency events;Sea surface temperature;1;0;Marine;Marine foodwebs;
572;Sea surface temperature;Water vapor;1;0;Marine;Marine foodwebs;
573;Water vapor;Air temperature constrast;1;0;Marine;Marine foodwebs;
574;Air temperature constrast;Wind stress;1;0;Marine;Marine foodwebs;
575;Wind stress;Upwelling;1;0;Marine;Marine foodwebs;
576;Upwelling;Nutrients;1;0;Marine;Marine foodwebs;
577;Phytoplankton/algae;Noxious gases;1;0;Marine;Marine foodwebs;
578;Noxious gases;Climate change;0,5;1;Marine;Marine foodwebs;
579;Nutrients;Phytoplankton/algae;1;0;Marine;Marine foodwebs;
580;GHG;CO2 in atmosphere;1;0;Earth System;Greenland Ice Sheet collapse;
581;CO2 in atmosphere;Temperature;1;0;Earth System;Greenland Ice Sheet collapse;
582;Temperature;Greenland ice sheet volume;-1;0;Earth System;Greenland Ice Sheet collapse;
583;Temperature;Sea surface temperature;1;0;Earth System;Greenland Ice Sheet collapse;
584;Sea surface temperature;Glacier undercutting;1;0;Earth System;Greenland Ice Sheet collapse;
585;Glacier undercutting;Greenland ice sheet volume;-1;0;Earth System;Greenland Ice Sheet collapse;
586;Greenland ice sheet volume;Open surface;-1;0;Earth System;Greenland Ice Sheet collapse;
587;Greenland ice sheet volume;Meltwater drainage;-1;0;Earth System;Greenland Ice Sheet collapse;
588;Open surface;Albedo;-1;0;Earth System;Greenland Ice Sheet collapse;
589;Albedo;Absorption of solar radiation;-1;0;Earth System;Greenland Ice Sheet collapse;
590;Absorption of solar radiation;Temperature;1;0;Earth System;Greenland Ice Sheet collapse;
591;Open surface;Glacier explsion to wave action;1;0;Earth System;Greenland Ice Sheet collapse;
592;Glacier explsion to wave action;Greenland ice sheet volume;-1;0;Earth System;Greenland Ice Sheet collapse;
593;Meltwater drainage;Ice calving;1;0;Earth System;Greenland Ice Sheet collapse;
594;Ice calving;Ice front retreat;1;0;Earth System;Greenland Ice Sheet collapse;
595;Ice front retreat;Stress beneath ice;-1;0;Earth System;Greenland Ice Sheet collapse;
596;Stress beneath ice;Basal lubrication;-1;0;Earth System;Greenland Ice Sheet collapse;
597;Basal lubrication;Ice sliding velocity;1;0;Earth System;Greenland Ice Sheet collapse;
598;Ice sliding velocity;Greenland ice sheet volume;-1;0;Earth System;Greenland Ice Sheet collapse;
599;Meltwater drainage;Meltwater runoff;1;0;Earth System;Greenland Ice Sheet collapse;
600;Meltwater runoff;Sea level rise;1;0;Earth System;Greenland Ice Sheet collapse;
601;Sea level rise;Greenland ice sheet volume;-1;0;Earth System;Greenland Ice Sheet collapse;
602;Meltwater runoff;Basal lubrication;1;0;Earth System;Greenland Ice Sheet collapse;
603;Meltwater runoff;Freshwater;1;0;Earth System;Greenland Ice Sheet collapse;
604;Freshwater;Overturning;-1;0;Earth System;Greenland Ice Sheet collapse;
605;Overturning;Salinity;1;0;Earth System;Greenland Ice Sheet collapse;
606;Salinity;Water density;1;0;Earth System;Greenland Ice Sheet collapse;
607;Water density;Water stratification;-1;0;Earth System;Greenland Ice Sheet collapse;
608;Water stratification;Ocean CO2 uptake;-1;0;Earth System;Greenland Ice Sheet collapse;
609;Ocean CO2 uptake;CO2 in atmosphere;-1;0;Earth System;Greenland Ice Sheet collapse;
610;GHG;CO2 in atmosphere;1;0;Earth System;Thermohaline circulation;
611;CO2 in atmosphere;Climate change;1;0;Earth System;Thermohaline circulation;
612;Climate change;Sea surface temperature;1;0;Earth System;Thermohaline circulation;
613;Sea surface temperature;Arctic sea ice volume;-1;0;Earth System;Thermohaline circulation;
614;Arctic sea ice volume;Open water;-1;0;Earth System;Thermohaline circulation;
615;Open water;Albedo;-1;0;Earth System;Thermohaline circulation;
616;Albedo;Absorption of solar radiation;-1;0;Earth System;Thermohaline circulation;
617;Absorption of solar radiation;Climate change;1;0;Earth System;Thermohaline circulation;
618;Open water;Evaporation;1;0;Earth System;Thermohaline circulation;
619;Evaporation;Precipitation;1;0;Earth System;Thermohaline circulation;
620;Precipitation;River runoff;1;0;Earth System;Thermohaline circulation;
621;River runoff;Freshwater;1;0;Earth System;Thermohaline circulation;
622;Evaporation;Salinity;1;0;Earth System;Thermohaline circulation;
623;Arctic sea ice volume;Freshwater;-1;0;Earth System;Thermohaline circulation;
624;Freshwater;Overturning;-1;0;Earth System;Thermohaline circulation;
625;Overturning;Salinity;1;0;Earth System;Thermohaline circulation;
626;Salinity;Water density;1;0;Earth System;Thermohaline circulation;
627;Water density;Convection;1;0;Earth System;Thermohaline circulation;
628;Convection;Overturning;1;0;Earth System;Thermohaline circulation;
629;Water density;Water stratification;-1;0;Earth System;Thermohaline circulation;
630;Water stratification;Ocean CO2 uptake;-1;0;Earth System;Thermohaline circulation;
631;Ocean CO2 uptake;CO2 in atmosphere;-1;0;Earth System;Thermohaline circulation;
632;Sea surface temperature;Water density;-1;0;Earth System;Thermohaline circulation;
633;Upwelling;Water mixing;1;0;Earth System;WAIS;
634;Water mixing;Subsurface ocean T;-1;0;Earth System;WAIS;
635;Subsurface ocean T;Intrusion of warm ocean water beneath ice (CDW);1;0;Earth System;WAIS;
636;Intrusion of warm ocean water beneath ice (CDW);Basal melting;1;0;Earth System;WAIS;
637;Access of water to sub-ice shelf cavities;Intrusion of warm ocean water beneath ice (CDW);1;0;Earth System;WAIS;
638;Basal melting;Buttressing ice shelves;-1;0;Earth System;WAIS;
639;Basal melting;West Antarctica Ice sheet volume;-1;0;Earth System;WAIS;
640;Buttressing ice shelves;Calving and ice flow rate;1;0;Earth System;WAIS;
641;Calving and ice flow rate;West Antarctica Ice sheet volume;-1;0;Earth System;WAIS;
642;Basal melting;Melt water;1;0;Earth System;WAIS;
643;Melt water;Water mixing;-1;0;Earth System;WAIS;
644;Melt water;Freshwater;1;0;Earth System;WAIS;
645;Freshwater;Freezing;1;0;Earth System;WAIS;
646;Freezing;Sea Ice extent;1;0;Earth System;WAIS;
647;West Antarctica Ice sheet volume;Albedo;1;0;Earth System;WAIS;
648;Sea Ice extent;Albedo;1;0;Earth System;WAIS;
649;Albedo;Temperature;-1;0;Earth System;WAIS;
650;Temperature;Snow fall;1;0;Earth System;WAIS;
651;Snow fall;West Antarctica Ice sheet volume;1;0;Earth System;WAIS;
652;GHG;Climate change;1;0;Earth System;WAIS;
653;Climate change;Temperature;1;0;Earth System;WAIS;
654;Melt water;Sea level rise;1;0;Earth System;WAIS;
655;Temperature;Sea surface temperature;1;0;Earth System;WAIS;
656;Sea surface temperature;Subsurface ocean T;1;0;Earth System;WAIS;
657;West Antarctica Ice sheet volume;Access of water to sub-ice shelf cavities;-1;0;Earth System;WAIS;
658;Temperature;Freezing;-1;0;Earth System;WAIS;
659;Droughts and dry spells;Water table height;-1;0;Terrestrial;Peatland transitions;
660;Precipitation;Water table height;1;0;Terrestrial;Peatland transitions;
661;Drainage;Water table height;-1;0;Terrestrial;Peatland transitions;
662;Evapotranspiration;Water table height;-1;0;Terrestrial;Peatland transitions;
663;Agriculture;Drainage;1;0;Terrestrial;Peatland transitions;
664;Agriculture;Soil nutrients;1;0;Terrestrial;Peatland transitions;
665;Soil nutrients;Vascular plant dominance;1;0;Terrestrial;Peatland transitions;
666;Vascular plant dominance;Evapotranspiration;1;0;Terrestrial;Peatland transitions;
667;Water table height;Decomposition / Mineralization;-1;0;Terrestrial;Peatland transitions;
668;Decomposition / Mineralization;Soil nutrients;-1;0;Terrestrial;Peatland transitions;
669;Water table height;Vascular plant dominance;-1;0;Terrestrial;Peatland transitions;
670;Sphagnum moss dominance;Vascular plant dominance;-1;0;Terrestrial;Peatland transitions;
671;Vascular plant dominance;Sphagnum moss dominance;-1;0;Terrestrial;Peatland transitions;
672;Sphagnum moss dominance;Decomposition / Mineralization;-1;0;Terrestrial;Peatland transitions;
673;Decomposition / Mineralization;Peat layer thickness;-1;0;Terrestrial;Peatland transitions;
674;Peat layer thickness;Sphagnum moss dominance;1;0;Terrestrial;Peatland transitions;
675;Sphagnum moss dominance;Acidity;1;0;Terrestrial;Peatland transitions;
676;Acidity;Sphagnum moss dominance;1;0;Terrestrial;Peatland transitions;
677;Sphagnum moss dominance;Below ground T;-1;0;Terrestrial;Peatland transitions;
678;Below ground T;Vascular plant dominance;1;0;Terrestrial;Peatland transitions;
679;Temperature;Below ground T;1;0;Terrestrial;Peatland transitions;
680;Acidity;Vascular plant dominance;-1;0;Terrestrial;Peatland transitions;
681;Vascular plant dominance;Decomposition / Mineralization;1;0;Terrestrial;Peatland transitions;
682;Sphagnum moss dominance;Water table height;1;0;Terrestrial;Peatland transitions;
683;Water table height;Sphagnum moss dominance;1;0;Terrestrial;Peatland transitions;
684;Evapotranspiration;Elevated microforms dominance;1;0;Terrestrial;Peatland transitions;
685;Elevated microforms dominance;Vascular plant dominance;1;0;Terrestrial;Peatland transitions;
686;Vascular plant dominance;Elevated microforms dominance;1;0;Terrestrial;Peatland transitions;
687;Harvest;Floating plants biomass;-1;0;Aquatic;Floating plants;
688;Floating plants biomass;Nutrients in water;-1;0;Aquatic;Floating plants;
689;Nutrients in water;Floating plants biomass;1;0;Aquatic;Floating plants;
690;Nutrients in water;Nutrients in sediments;1;0;Aquatic;Floating plants;
691;Nutrients in sediments;Nutrients in water;-1;0;Aquatic;Floating plants;
692;Nutrients in sediments;Submerged plants biomass;-1;0;Aquatic;Floating plants;
693;Submerged plants biomass;Nutrients in sediments;-1;0;Aquatic;Floating plants;
694;Submerged plants biomass;Nutrients in water;-1;0;Aquatic;Floating plants;
695;Floating plants biomass;Shading;1;0;Aquatic;Floating plants;
696;Shading;Light penetration;-1;0;Aquatic;Floating plants;
697;Light penetration;Photosynthesis;1;0;Aquatic;Floating plants;
698;Photosynthesis;Floating plants biomass;1;0;Aquatic;Floating plants;
699;Photosynthesis;Submerged plants biomass;1;0;Aquatic;Floating plants;
700;Submerged plants biomass;Shading;1;0;Aquatic;Floating plants;
701;Agriculture;Fertiliser use;1;0;Aquatic;Floating plants;
702;Fertiliser use;Nutrients;1;0;Aquatic;Floating plants;
703;Nutrients;Nutrients in sediments;1;0;Aquatic;Floating plants;
704;Nutrients;Water turbidity;1;0;Aquatic;Floating plants;
705;Water turbidity;Light penetration;-1;0;Aquatic;Floating plants;
706;Agriculture;Irrigation;1;0;Aquatic;Floating plants;
707;Irrigation;Water depth;1;0;Aquatic;Floating plants;
708;Water depth;Light penetration;-1;0;Aquatic;Floating plants;
709;Agriculture;Soil erosion;1;0;Aquatic;Floating plants;
710;Soil erosion;Sedimentation;1;0;Aquatic;Floating plants;
711;Sedimentation;Water turbidity;1;0;Aquatic;Floating plants;
712;Irrigation;Water level fluctuation;1;0;Aquatic;Floating plants;
713;Water level fluctuation;Nutrients;1;0;Aquatic;Floating plants;
714;Urbanization;Sewage;1;0;Aquatic;Floating plants;
715;Sewage;Nutrients;1;0;Aquatic;Floating plants;
716;Deforestation;Soil erosion;1;0;Marine;Hypoxia;
717;Floods;Soil erosion;1;0;Marine;Hypoxia;
718;Precipitation;Soil erosion;1;0;Marine;Hypoxia;
719;Floods;Flushing;1;0;Marine;Hypoxia;
720;Precipitation;Flushing;1;0;Marine;Hypoxia;
721;Flushing;Nutrients in water;1;0;Marine;Hypoxia;Check?
722;Urbanization;Sewage;1;0;Marine;Hypoxia;
723;Sewage;Nutrients;1;0;Marine;Hypoxia;
724;Nutrients;Nutrients in water;1;0;Marine;Hypoxia;
725;Urbanization;Urban water runoff;1;0;Marine;Hypoxia;
726;Agriculture;Fertiliser use;1;0;Marine;Hypoxia;
727;Fertiliser use;Nutrients;1;0;Marine;Hypoxia;
728;Upwelling;Nutrients in water;1;0;Marine;Hypoxia;
729;Upwelling;Water stratification;-1;0;Marine;Hypoxia;
730;Water stratification;Dissolved oxygen;-1;0;Marine;Hypoxia;
731;Nutrients in water;Algae;1;0;Marine;Hypoxia;
732;Algae;Nutrients in water;-1;0;Marine;Hypoxia;
733;Algae;Water turbidity;1;0;Marine;Hypoxia;
734;Water turbidity;Macrophytes;-1;0;Marine;Hypoxia;
735;Macrophytes;Nutrients in water;-1;0;Marine;Hypoxia;
736;Algae;Organic matter;1;0;Marine;Hypoxia;
737;Organic matter;Dissolved oxygen;-1;0;Marine;Hypoxia;
738;Dissolved oxygen;Algae;-1;0;Marine;Hypoxia;
739;Dissolved oxygen;Zooplankton;1;0;Marine;Hypoxia;
740;Zooplankton;Algae;-1;0;Marine;Hypoxia;
741;Algae;Zooplankton;1;0;Marine;Hypoxia;
742;Dissolved oxygen;Nutrients in water;-1;0;Marine;Hypoxia;
743;Dissolved oxygen;Hydrosulfuric acid;-1;0;Marine;Hypoxia;
744;Hydrosulfuric acid;Dissolved oxygen;-1;0;Marine;Hypoxia;
745;Dissolved oxygen;Fish;1;0;Marine;Hypoxia;
746;Fish;Macrophytes;-1;0;Marine;Hypoxia;
747;Urban water runoff;Nutrients;1;0;Marine;Hypoxia;
748;Macrophytes;Fish;1;0;Marine;Hypoxia;
749;Climate change;Water vapor;1;0;Marine;Marine eutrophication;
750;Climate change;Sea surface temperature;1;0;Marine;Marine eutrophication;
751;Water vapor;Wind stress;1;0;Marine;Marine eutrophication;
752;Sea surface temperature;Water stratification;1;0;Marine;Marine eutrophication;
753;Wind stress;Upwelling;1;0;Marine;Marine eutrophication;
754;Water stratification;Upwelling;-1;0;Marine;Marine eutrophication;
755;Upwelling;Nutrients;1;0;Marine;Marine eutrophication;
756;Urbanization;Sewage;1;0;Marine;Marine eutrophication;
757;Urbanization;Urban water runoff;1;0;Marine;Marine eutrophication;
758;Sewage;Nutrients;1;0;Marine;Marine eutrophication;
759;Urban water runoff;Nutrients;1;0;Marine;Marine eutrophication;
760;Agriculture;Fertiliser use;1;0;Marine;Marine eutrophication;
761;Agriculture;Irrigation;1;0;Marine;Marine eutrophication;
762;Agriculture;Fragmentation;1;0;Marine;Marine eutrophication;
763;Fragmentation;Soil erosion;1;0;Marine;Marine eutrophication;
764;Irrigation;Soil erosion;1;0;Marine;Marine eutrophication;
765;Soil erosion;Nutrients;1;0;Marine;Marine eutrophication;
766;Fertiliser use;Nutrients;1;0;Marine;Marine eutrophication;
767;Deforestation;Fragmentation;1;0;Marine;Marine eutrophication;
768;Nutrients in water;Algae;1;0;Marine;Marine eutrophication;
769;Algae;Nutrients in water;-1;0;Marine;Marine eutrophication;
770;Algae;Water turbidity;1;0;Marine;Marine eutrophication;
771;Water turbidity;Macrophytes;-1;0;Marine;Marine eutrophication;
772;Macrophytes;Nutrients in water;-1;0;Marine;Marine eutrophication;
773;Algae;Dissolved oxygen;-1;0;Marine;Marine eutrophication;
774;Dissolved oxygen;Nutrients in water;-1;0;Marine;Marine eutrophication;
775;Dissolved oxygen;Fish;-1;0;Marine;Marine eutrophication;
776;Fish;Apex predators;1;0;Marine;Marine eutrophication;
777;Apex predators;Fish;-1;0;Marine;Marine eutrophication;
778;Fishing;Apex predators;-1;0;Marine;Marine eutrophication;
779;Fishing;Fish;-1;0;Marine;Marine eutrophication;
780;Fish;Macrophytes;-1;0;Marine;Marine eutrophication;
781;Nutrients;Nutrients in water;1;0;Marine;Marine eutrophication;
782;Macrophytes;Fish;1;0;Marine;Marine eutrophication;
783;Rainfall variability;Floods;1;0;Aquatic;River channel change;
784;Floods;River sedimentation;1;0;Aquatic;River channel change;
785;Floods;Defense infrastructure;-1;0;Aquatic;River channel change;
786;Defense infrastructure;Discharge;1;0;Aquatic;River channel change;
787;Discharge;River sedimentation;-1;0;Aquatic;River channel change;
788;River sedimentation;Flat gradient;1;0;Aquatic;River channel change;
789;Flat gradient;Current;-1;0;Aquatic;River channel change;
790;Floods;Current;1;0;Aquatic;River channel change;
791;Channelization;Current;1;0;Aquatic;River channel change;
792;Defense infrastructure;River sedimentation;1;0;Aquatic;River channel change;
793;River sedimentation;Blocking;1;0;Aquatic;River channel change;
794;River sedimentation;Crevasse splay;1;0;Aquatic;River channel change;
795;River sedimentation;Riverbed erosion;1;0;Aquatic;River channel change;
796;River sedimentation;Swamp elevation;0,1;0;Aquatic;River channel change;0,1 means impact, not driver
797;River sedimentation;New coastal land;0,1;0;Aquatic;River channel change;
798;Swamp elevation;New coastal land;0,1;0;Aquatic;River channel change;
799;Riverbed erosion;New coastal land;0,1;0;Aquatic;River channel change;
800;Riverbed erosion;Course change in width or depth;1;0;Aquatic;River channel change;
801;Course change in width or depth;Lobes;1;0;Aquatic;River channel change;
802;Lobes;Superlobes;1;0;Aquatic;River channel change;
803;Superlobes;Course change in width or depth;1;0;Aquatic;River channel change;
804;Course change in width or depth;Urbanization;-1;0;Aquatic;River channel change;
805;Urbanization;Protection need;1;0;Aquatic;River channel change;
806;Course change in width or depth;Agriculture;-1;0;Aquatic;River channel change;
807;Agriculture;Protection need;1;0;Aquatic;River channel change;
